fen_board,cp_score
rnbq1rk1/ppp1ppbp/3p1np1/8/2PPP3/2NB1P2/PP4PP/R1BQK1NR b KQ - 2 6,0.003
rnbqkbnr/ppp2ppp/8/8/2ppP2P/5N2/PP3PP1/RNBQKB1R b KQkq - 0 5,-0.0314
rn1qkb1r/pb1p1ppp/1p2pn2/2P5/2P5/5NP1/PP2PPBP/RNBQK2R b KQkq - 0 6,-0.0016
r2q1bnr/1pp1kpp1/p1Bp4/4p2p/4P1b1/5N1P/PPPP1PP1/RNBQ1RK1 w - - 1 8,0.0794
rnbqkbnr/ppp2ppp/8/8/2ppP3/5NP1/PP3P1P/RNBQKB1R b KQkq - 0 5,-0.0248
r1b1kbnr/ppqp1ppp/2n1p3/8/3NP3/2N2Q2/PPP2PPP/R1B1KB1R b KQkq - 3 6,-0.0428
rnbq1rk1/pppp1ppp/4pn2/5Q2/1bPP4/2N5/PP2PPPP/R1B1KBNR b KQ - 5 5,-0.136
rn2kb1r/pp1qpppp/2p2n2/3P4/6b1/1Q6/PP1PPPBP/RNB1K1NR w KQkq - 3 6,-0.0048
rnbqk2r/p1p1nppp/1p2p3/3pP3/1b1P4/2NB4/PPP2PPP/R1BQK1NR w KQkq - 0 6,0.0082
rnbqkb1r/pppp1ppp/5n2/8/2BpP3/8/PPPB1PPP/RN1QK1NR b KQkq - 1 4,-0.02
rnbqkb1r/pp1n1p1p/3p2p1/2pP4/4P3/2N2N2/PP3PPP/R1BQKB1R w KQkq - 2 8,0.0221
r1b1kbnr/1pqp1ppp/p1n5/4p3/3NP3/2N1B3/PPP1BPPP/R2QK2R w KQkq - 0 8,0.0237
r1bq1rk1/ppp1ppbp/2np2p1/3n4/2PPP3/2N1BP2/PP2N1PP/R2QKB1R w KQ - 5 8,0.0607
rn1qk2r/4ppbp/b2p1np1/2pP4/7P/2N2NP1/PP2PP2/R1BQKB1R b KQkq - 0 9,0.0015
r2q1rk1/3nppbp/b2p2p1/2pP4/6n1/2N2NP1/PP2PPBP/R1BQR1K1 w - - 7 12,0.0144
rn1qkb1r/pbpp1ppp/1p2pn2/8/2PP4/5NPB/PP2PP1P/RNBQK2R b KQkq - 2 5,-0.0042
r2qk2r/4ppbp/b1np1np1/2pP4/8/2N2NP1/PP2PPBP/R1BQK2R w KQkq - 3 10,0.0558
rnbqk2r/pp3pbp/3p1np1/2pP4/4P2N/2N5/PP3PPP/R1BQKB1R b KQkq - 3 8,-0.0116
rnb1kb1r/ppq1pppp/2p2n2/3p4/2PP4/2N1P3/PP3PPP/R1BQKBNR w KQkq - 1 5,0.0096
rnbq1rk1/pp1p1ppp/2p1pn2/8/1bPP4/P1N5/1PQ1PPPP/R1B1KBNR w KQ - 0 6,0.0536
1n1qkb1r/r3pppp/b2p1n2/2pP4/8/2N2N2/PP2PPPP/R1BQKB1R w KQk - 2 8,0.0172
rnbqkb1r/p1pp1ppp/1p2pn2/8/P1PP4/5N2/1P2PPPP/RNBQKB1R b KQkq - 0 4,-0.0066
r1bqk2r/2ppbppp/p1n2n2/1p2p3/B3P1P1/5N2/PPPP1P1P/RNBQR1K1 b kq - 0 7,-0.0545
rnbqkbnr/ppp1pppp/8/3p4/3P4/4P3/PPP2PPP/RNBQKBNR b KQkq - 0 2,-0.0014
r1b1k1nr/1pqp1ppp/p1n1p3/8/3NP3/b1N1B3/PPP1BPPP/R2QK2R w KQkq - 2 8,0.0523
rnbqkb1r/pp2pppp/2p2n2/3p4/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 2 4,0.0073
r1bq1knr/ppp2ppp/2n5/8/2BpP3/5N2/PP1N1PPP/R2Q1RK1 w - - 3 9,0.0182
rnbqkbnr/p3pppp/2p5/1p1P4/3P4/8/PPP2PPP/RNBQKBNR w KQkq - 0 4,0.0328
rnbq1rk1/pppp1ppp/4pn2/8/1bPP3P/2N5/PPQ1PPP1/R1B1KBNR b KQ - 0 5,-0.0081
r1bqk2r/pp1nbppp/2p2n2/3p2B1/3PN3/4P3/PPQ2PPP/R3KBNR b KQkq - 2 8,-0.0576
r1bqkbnr/1p1ppppp/2n5/p1p5/3PP3/5N2/PPP2PPP/RNBQKB1R w KQkq - 0 4,0.0232
r2q1rk1/2p1bppp/p2P1n2/1p6/4P1b1/1nP1BN2/PP3PPP/RN1QR1K1 b - - 0 12,-0.0266
r1bq1rk1/1pp1ppbp/p1np1np1/8/2PPP3/2N1BP1P/PP2N1P1/R2QKB1R b KQ - 0 8,0.0003
rnbqk2r/ppp1ppbp/3p1np1/6B1/2PPP3/2N5/PP3PPP/R2QKBNR b KQkq - 1 5,0.0026
r1bqk2r/pp3pbp/2np1np1/2pP4/4P3/2N2N2/PP2BPPP/R1BQK2R w KQkq - 4 9,0.0487
rnbqkbnr/ppp1pppp/8/3p4/3PP3/8/PPP2PPP/RNBQKBNR b KQkq - 0 2,-0.0064
rn1qk2r/4ppbp/b2p1np1/2pP4/N7/5NP1/PP2PP1P/R1BQKB1R b KQkq - 2 9,-0.0063
r1bqkbnr/1p1ppppp/p1n5/2p5/3PP3/5N2/PPP2PPP/RNBQKB1R w KQkq - 0 4,0.0195
rnbqkb1r/ppp2ppp/4pn2/3p4/2PP4/2NQ4/PP2PPPP/R1B1KBNR b KQkq - 3 4,-0.0093
rnbqkb1r/1p3p1p/p2p1np1/2pP4/4P3/2N2N2/PP3PPP/R1BQKB1R w KQkq - 0 8,0.0135
rn1qkb1r/4pppp/b2p1n2/2pP2B1/8/2N5/PP2PPPP/R2QKBNR b KQkq - 1 7,0.0064
rn1qkb1r/pbpp1ppp/1p2pn2/8/2PP2P1/5N2/PP2PP1P/RNBQKB1R b KQkq - 0 5,-0.0127
rn1qkb1r/ppp1pppp/5n2/3p4/2P3b1/8/PP1PPPBP/RNBQK1NR w KQkq - 1 4,-0.0093
r1bq1rk1/2p1bppp/p1np1n2/1p2p3/3PP3/1BP1BN2/PP3PPP/RN1QR1K1 w - - 3 11,0.0121
rnbqkbnr/ppp2ppp/4p3/3p4/3PP3/8/PPP1NPPP/RNBQKB1R b KQkq - 1 3,-0.0105
r1bqk2r/1pppbppp/p1n5/4p3/B3P1n1/5N2/PPPP1PPP/RNBQR1K1 w kq - 6 7,0.0154
rnbqk2r/pp2bppp/2p2n2/3p2B1/3P3P/2N5/PPQ1PPP1/R3KBNR b KQkq - 0 7,-0.0081
r1bqkbnr/pp3ppp/2n5/3pp3/3P4/2PB4/PP3PPP/RNBQK1NR w KQkq - 0 6,0.0061
r1bqnr2/pp1ppk1p/4N1p1/n3b3/8/2N1B3/PPP2PPP/R2QK2R w KQ - 0 12,0.091
rnbqkb1r/pppp1ppp/5n2/4p3/2B1P3/6P1/PPPP1P1P/RNBQK1NR b KQkq - 0 3,-0.0194
r2q1rk1/2p1bppp/p2p1n2/np2p3/3PP1b1/1BP1BN2/PP2RPPP/RN1Q2K1 b - - 4 11,-0.0198
rnb1r1k1/ppq2pbp/3p1np1/2pP4/4P3/2N5/PP1NBPPP/R1BQ1RK1 w - - 8 11,0.015
r1bqkb1r/pp1p1ppp/2n2n2/2pP4/8/2N5/PP2PPPP/R1BQKBNR w KQkq - 1 6,0.0388
r1bq1rk1/1pp2pbp/p1np1np1/4p3/2PPP3/1QN1BP2/PP4PP/R1N1KB1R b KQ - 1 9,-0.0616
r1b1r1k1/pp1nbppp/2p2n2/q2p2B1/3P4/2NBPN2/PPQ2PPP/R4RK1 w - - 7 11,0.0108
r1b1kb1r/1pqpnppp/p1n1p3/8/4P3/2N1BN2/PPP1BPPP/R2QK2R b KQkq - 3 8,0.0024
rnbqkb1r/pppppppp/8/8/2PP2n1/8/PP2PPPP/RNBQKBNR w KQkq - 1 3,0.0163
rn1k1b1r/pp2pppp/1qP2n2/8/6b1/1Q6/PP1PPPBP/RNB1K1NR w KQ - 1 7,0.2118
r1bq1rk1/p2pppbp/1p3np1/n3P3/3N4/1BN1B3/PPP2PPP/R2QK2R w KQ - 0 10,0.0359
rn1qkb1r/3ppppp/b4n2/2pP4/Q7/8/PP2PPPP/RNB1KBNR b KQkq - 1 6,-0.0166
rnbqkbnr/pppp1ppp/4p3/8/2P1P3/8/PP1P1PPP/RNBQKBNR b KQkq - 0 2,-0.0043
rnbq1bnr/ppppkppp/8/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQ - 2 3,0.0334
rnbq1b1r/1pp2kpp/p2p1n2/8/3PP3/8/PPP2PPP/RNBQKB1R w KQ - 0 6,0.0033
rn1qkb1r/4pp1p/b2p1np1/2pP4/5B2/2N2N2/PP2PPPP/R2QKB1R b KQkq - 1 8,0.0041
rn1qkb1r/pbpp1ppp/4pn2/1p6/2PP4/5NP1/PP2PPBP/RNBQK2R w KQkq - 0 6,0.0131
rnb1kb1r/ppp1qppp/5n2/3p2B1/3P4/2N5/PP2PPPP/R2QKBNR w KQkq - 2 6,0.0225
r1bqnr2/pp1ppkbp/6p1/n3P3/3N1B2/2N5/PPP2PPP/R2QK2R b KQ - 1 11,-0.0416
r1b1kb1r/2pp1ppp/p1n2q2/1p2p3/3Pn3/1B3N2/PPP2PPP/RNBQ1RK1 w kq - 2 8,0.0437
rnbqkb1r/2pp1ppp/pp2pn2/8/2PP4/5NP1/PP2PP1P/RNBQKB1R w KQkq - 0 5,0.0123
rn1qkbnr/ppp1pppp/8/3p4/6b1/3P4/PPP1PPBP/RNBQK1NR b KQkq - 0 3,-0.0238
r1bqk2r/ppp2ppp/2n5/4P3/1PBp2n1/5N2/P2N1PPP/R2Q1RK1 b kq - 0 10,-0.0091
rnbqk2r/ppp1nppp/4p3/3pP2Q/1b1P4/2N5/PPP2PPP/R1B1KBNR b KQkq - 2 5,-0.0129
r1bqkb1r/1pp1nppp/p1np4/4p3/B3P3/5N2/PPPP1PPP/RNBQ1RK1 w kq - 2 6,0.0091
rnbqkb1r/pp2pppp/2p2n2/3p4/2PP4/2N4P/PP2PPP1/R1BQKBNR b KQkq - 0 4,-0.0049
rn1q1rk1/pppbppbp/3p1np1/8/2PPP3/2N1BP2/PP4PP/R2QKBNR w KQ - 3 7,0.0104
r1bq1rk1/pppnnppp/4p3/3pP3/1b1P4/2NB1N2/PPPB1PPP/R2QK2R b KQ - 6 7,0.0024
rn2kb1r/pp2pppp/1qp2n2/3P4/4B1b1/1Q6/PP1PPP1P/RNB1K1NR b KQkq - 4 6,-0.0614
r1bqkb1r/1ppp1ppp/p1n2n2/4p3/B3P3/8/PPPP1PPP/RNBQK1NR b KQkq - 3 5,-0.0214
rnbqkb1r/ppp2ppp/4pn2/3p4/2PP4/2N5/PPQ1PPPP/R1B1KBNR b KQkq - 3 4,-0.0051
rnbqk1nr/ppp2ppp/3bp3/3p4/3PP3/2N5/PPP2PPP/R1BQKBNR w KQkq - 2 4,0.0153
rnbqk2r/pp2bppp/2p2n2/3p2B1/3P4/2N4N/PPQ1PPPP/R3KB1R b KQkq - 3 7,-0.0096
r1bq1k1r/ppp2ppp/2n5/4P3/2Bp2n1/5N1P/PP1N1PP1/R2Q1RK1 w - - 1 11,0.0511
r1bqrnk1/pp2bp1p/2p2nB1/3p2B1/3P4/2N1PN2/PPQ2PPP/1R3RK1 b - - 0 12,-0.0431
rn1qkbnr/pp2pppp/2p1b3/3P4/3P4/8/PPP2PPP/RNBQKBNR w KQkq - 1 4,0.0744
rnbqkbnr/pp2pppp/2p5/3p4/3PP3/8/PPPK1PPP/RNBQ1BNR b kq - 1 3,-0.0231
r1b2rk1/1ppq1pbp/p1np1np1/3Pp3/2P1P3/2N1BP2/PP4PP/R1NQKB1R w KQ - 1 10,0.0414
rnb1kb1r/1p1qpppp/p2p1n2/8/2BNP3/2N5/PPP2PPP/R1BQK2R w KQkq - 2 7,0.0148
rnbqk1nr/ppp2ppp/8/4p3/2pPP3/b4N2/PP3PPP/RNBQKB1R w KQkq - 2 5,0.059
rnbqkb1r/pp1p1pp1/5n1p/2pP4/8/2N5/PP2PPPP/R1BQKBNR w KQkq - 0 6,0.0182
rnbqr1k1/pp3pbp/3p2p1/2pP4/4P1n1/2N5/PP1NBPPP/R1BQ1RK1 w - - 8 11,0.0504
r1bqkb1r/ppp1pppp/2n2n2/3P4/3P4/8/PP2PPPP/RNBQKBNR w KQkq - 1 4,0.0561
rnbqkb1r/ppp1pppp/5n2/8/3PP3/8/PP2NPPP/RNBQKB1R b KQkq - 2 5,-0.0097
rnbqk2r/pp2bppp/2p2n2/3p2B1/3PQ3/2N5/PP2PPPP/R3KBNR b KQkq - 3 7,-0.1453
1r1qkbnr/ppp1pp1p/2np2p1/3P4/4P1b1/2N2N2/PPP2PPP/R1BQKB1R w KQk - 1 6,0.0481
rnbqkbnr/pp2pppp/3p4/8/3pP3/2N2N2/PPP2PPP/R1BQKB1R b KQkq - 1 4,-0.0553
rnbqkb1r/pppp1ppp/4pn2/8/2PP3P/8/PP2PPP1/RNBQKBNR b KQkq - 0 3,-0.0065
rnbqkbnr/ppp2ppp/3p4/4p3/4P3/N4N2/PPPP1PPP/R1BQKB1R b KQkq - 1 3,-0.0061
rn1qkb1r/pbpp1ppp/1p2p3/8/2PP2n1/5NP1/PP2PPBP/RNBQK2R w KQkq - 3 6,0.0155
r1bqr1k1/pp1nbpp1/2p2n1p/3p2B1/3P4/2NBPN2/PPQ2PPP/R4RK1 w - - 0 11,0.0091
rnb1kb1r/ppp2ppp/4pn2/3q4/3P4/2N5/PP2PPPP/R1BQKBNR w KQkq - 0 5,0.0902
rnbq2nr/pppk1ppp/4p3/3pP3/1b1P4/2N5/PPP2PPP/R1BQKBNR w KQ - 1 5,0.0231
r1b1kbnr/1pqp1ppp/p1n1p3/8/4P3/1NN5/PPP1BPPP/R1BQK2R b KQkq - 1 7,-0.0012
rnbqk2r/pp2bppp/2p2n2/3p2B1/3P4/2N5/PP2PPPP/RQ2KBNR b KQkq - 3 7,-0.0072
r1bqkb1r/p2ppppp/2n2n2/1PpP4/8/8/PP2PPPP/RNBQKBNR w KQkq - 1 5,0.0596
rnbqkbnr/ppp1pppp/8/8/2pP4/2N5/PP2PPPP/R1BQKBNR b KQkq - 1 3,0.0024
r1bqkbnr/1pp2ppp/p1np4/4p3/B3P3/P4N2/1PPP1PPP/RNBQK2R b KQkq - 0 5,-0.0031
r1bqr1k1/pp1nbppp/2p2n2/1N1p2B1/3P4/3BPN2/PPQ2PPP/R3K2R b KQ - 6 10,-0.0425
r1bqk1nr/pppnbppp/3p4/8/2BNP3/8/PPPB1PPP/RN1QK2R b KQkq - 2 6,0.0
r1bqkbnr/pp2pppp/B1n5/3p4/3P4/8/PPP2PPP/RNBQK1NR b KQkq - 3 5,-0.0505
rnbq1knr/ppp1bppp/3p4/8/2BNP3/8/PPP2PPP/RNBQK2R w KQ - 1 6,0.0179
rnbqkb1r/ppp1pppp/5n2/3p4/2PP4/5N2/PP2PPPP/RNBQKB1R b KQkq - 2 3,0.0008
r1bqk1nr/pppnbppp/3p4/8/2BNP3/4B3/PPP2PPP/RN1QK2R b KQkq - 2 6,0.0009
r1bqkbnr/pp1p1ppp/2n1p3/8/3NP3/3B4/PPP2PPP/RNBQK2R b KQkq - 1 5,-0.0429
rnbqkb1r/pppp1ppp/3n4/8/2B1Q3/5N2/PPP2PPP/RNB1K2R b KQkq - 2 6,-0.1462
rnbqk2r/ppp1nppp/4p3/3pP3/1b1P4/2N2P2/PPP3PP/R1BQKBNR b KQkq - 0 5,-0.0175
r1b1kbnr/pp1p1ppp/2n1p3/8/3NPq2/2N5/PPP1BPPP/R1BQK2R w KQkq - 4 7,0.1425
r1bq1rk1/pp1nbppp/2p2n2/3p2B1/N2P4/3BP3/PPQ2PPP/R3K1NR b KQ - 4 9,-0.0043
rnbqkb1r/pp2pppp/2p2n2/8/2pP4/2N1P3/PP3PPP/R1BQKBNR w KQkq - 0 5,0.012
rnbqkbnr/pppppp1p/8/6p1/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,0.0212
r2q1rk1/2p1bppp/p1np1n2/1p2p3/3PP1b1/1BP2N2/PP3PPP/RNBQ1RK1 b - - 2 10,-0.0066
r2qkb1r/pp2pppp/2np1n2/6B1/3NP1b1/2N5/PPP2PPP/R2QKB1R w KQkq - 2 7,0.0126
rnbqkbnr/pp2pppp/2p5/3P4/3P4/8/PP2PPPP/RNBQKBNR b KQkq - 0 3,0.0015
rnb1kbnr/ppq1pppp/8/3p4/3P4/3B4/PPP2PPP/RNBQK1NR w KQkq - 2 5,0.0134
rn1qkb1r/3ppppp/5n2/1bpP4/8/2N5/PP2PPPP/R1BQKBNR w KQkq - 2 7,0.058
rnbqk1nr/ppp2ppp/4p3/3pP3/1b1P4/2N5/PPP2PPP/R1BQKBNR b KQkq - 0 4,-0.0007
rn1qkbnr/ppp1pppp/8/3p4/6b1/7B/PPPPPP1P/RNBQK1NR b KQkq - 1 3,-0.0375
r4r1k/3nppbp/bq1p1np1/2pP4/8/2N2NPP/PP2PPB1/R1BQR1K1 w - - 1 13,0.0172
r1b1kbnr/1pqp1ppp/p1n1p3/8/3NP3/2N5/PPPQBPPP/R1B1K2R b KQkq - 1 7,0.0003
rn1q1rk1/4ppbp/b2p1np1/2pP4/8/2N2NP1/PPQ1PPBP/R1B1K2R b KQ - 4 10,0.006
rnbqkb1r/3ppppp/p4n2/1PpP4/8/5P2/PP2P1PP/RNBQKBNR b KQkq - 0 5,0.0022
rnbqkbnr/pp2pppp/3p4/2p5/2B1P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 1 3,0.0
rnbq1rk1/pppp1ppp/4pn2/8/1bPP2P1/2N5/PPQ1PP1P/R1B1KBNR b KQ - 0 5,-0.0098
r1bq1rk1/1pp2p1p/p1np1npb/3Pp3/2P1P3/2N1BP2/PP4PP/R1NQKB1R w KQ - 1 10,0.0711
r2qkb1r/pp1bpppp/5n2/n2p4/Q2P4/2PBB3/PP3PPP/RN2K1NR b KQkq - 8 9,-0.1343
rnbq1rk1/pp3pbp/3p1np1/2pP4/4P3/2N2NP1/PP2BP1P/R1BQK2R b KQ - 0 9,-0.0094
r1b1kbnr/1pqp1ppp/p1n1p3/8/3NP3/2N5/PPP1BPPP/R1BQK2R w KQkq - 0 7,0.009
rn1qkbnr/ppp2ppp/8/8/2BpP3/5N1b/PP3PPP/RNBQK2R w KQkq - 1 6,0.0456
rnbq1rk1/ppp1ppbp/3p1np1/8/2PPP3/2N2P2/PP4PP/R1BQKBNR w KQ - 1 6,0.0084
rnbqkb1r/pppp1ppp/4pn2/8/2PP4/8/PP1QPPPP/RNB1KBNR b KQkq - 1 3,-0.0063
r2qkb1r/p3pppp/1pn2n2/3p4/3P1Bb1/1QPB4/PP3PPP/RN2K1NR w KQkq - 0 8,0.0135
rn1qkbnr/p1p1pppp/8/1p1p4/2P3b1/8/PP1PPPBP/RNBQK1NR w KQkq - 0 4,0.0062
r2qkb1r/pp1bpppp/5n1B/n2p4/Q2P4/2PB4/PP3PPP/RN2K1NR b KQkq - 8 9,-0.1352
rnbqk2r/ppp1nppp/4p3/3pP3/1b1P2Q1/2N5/PPP2PPP/R1B1KBNR b KQkq - 2 5,-0.0062
r1bqkb1r/pppppp1p/2n2np1/8/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 2 4,0.0157
r1b1k2r/ppp2ppp/2n5/3qP3/2Bp2n1/5N1P/PP1N1PP1/R2Q1RK1 w kq - 1 11,0.1501
rnbqkbnr/pp2pppp/3p4/8/2pPP3/5N2/PPP2PPP/RNBQKB1R w KQkq - 0 4,0.0281
rn1qkbnr/ppp1pppp/8/3p4/6bP/8/PPPPPPB1/RNBQK1NR b KQkq - 0 3,-0.0263
r2q1rk1/1ppb1pbp/p1np1np1/3Pp3/2P1P3/2N1BP2/PP4PP/R1NQKB1R w KQ - 1 10,0.0404
rn1qkb1r/pbpp1ppp/1p2pn2/8/2PP4/5NP1/PPQ1PP1P/RNB1KB1R b KQkq - 2 5,-0.0084
r1bqkbnr/pp1ppppp/2n5/2p3N1/4P3/8/PPPP1PPP/RNBQKB1R b KQkq - 3 3,-0.0125
rnbqkb1r/pp2pppp/3p4/8/3NP1n1/2N5/PPP2PPP/R1BQKB1R w KQkq - 3 6,0.0393
rnbqkb1r/pp1ppppp/8/2pP3n/2P5/8/PP2PPPP/RNBQKBNR w KQkq - 1 4,0.0185
r1b1kbnr/pp1ppppp/1qn5/8/3NP3/8/PPP2PPP/RNBQKB1R w KQkq - 1 5,0.0085
r1bqk2r/ppp2ppp/2n2n2/8/2BpP3/5N2/PP1N1PPP/R2QR1K1 b kq - 4 9,0.0005
r1bqnr2/pp1ppkbp/6p1/n3P3/3N4/2N5/PPP2PPP/R1BQK2R b KQ - 1 11,-0.0453
rnbqkb1r/1p3ppp/p2p1n2/4p3/2BNP3/2N5/PPP2PPP/R1BQK2R w KQkq - 0 7,0.008
rn1q1rk1/1b2ppbp/3p1np1/2pP4/8/2N2NP1/PP2PPBP/R1BQ1RK1 w - - 5 11,0.0136
1r1qkb1r/pp2pppp/2n2n2/3p4/3P1Bb1/1QPB4/PP3PPP/RN2K1NR w KQk - 5 8,0.022
r1bq1rk1/1pp1ppbp/p1np1np1/8/2PPPP2/2N1B3/PP2N1PP/R2QKB1R b KQ - 0 8,-0.0083
2rq1rk1/2p1bppp/p2p1n2/np2P3/4P1b1/1BP1BN2/PP3PPP/RN1QR1K1 w - - 1 12,0.0505
rn1qkb1r/pb1p1ppp/1p2pn2/2p5/2PP4/5NP1/PP2PPBP/RNBQK1R1 b Qkq - 1 6,-0.0135
rnbqkb1r/pppp1ppp/3n4/8/2BQ4/5N2/PPP2PPP/RNB1KR2 b Qkq - 2 6,-0.021
rn1qkb1r/4pp1p/b2p1n2/2pP2p1/8/2N2NP1/PP2PP1P/R1BQKB1R w KQkq - 0 9,0.037
rnbqkb1r/5ppp/p2pp3/1p6/3Nn3/1BN5/PPP2PPP/R1BQ1RK1 w kq - 0 9,0.0504
rn1qkb1r/pp2pppp/5n2/3p1b2/3P4/2N1P3/PP1K1PPP/R1BQ1BNR b kq - 1 6,-0.0217
rnbqkbnr/ppp1pppp/7B/3p4/3P4/8/PPP1PPPP/RN1QKBNR b KQkq - 1 2,-0.0489
rnbqkb1r/5ppp/p2ppn2/1p6/3NP3/2N5/PPP1BPPP/R1BQ1RK1 b kq - 1 8,-0.0046
rnbqk1nr/pp2bppp/3p4/2p5/2BNP3/8/PPP2PPP/RNBQK2R w KQkq - 0 6,0.012
rn1qkbnr/pp2pppp/2p5/3p4/2P3b1/7B/PP1PPP1P/RNBQK1NR b KQkq - 1 4,-0.0316
rnbqkb1r/1p2pppp/p2p1n2/8/P2NP3/2N5/1PP2PPP/R1BQKB1R b KQkq - 0 6,-0.0025
